,station,prediction_time,prediction_window,number_of_bikes_left,number_of_bikes_returned,net_difference
240,4,2022-08-28 12:45:00,15,0,0,0
241,4,2022-08-28 13:00:00,15,3,1,-2
242,4,2022-08-28 13:15:00,15,0,2,2
243,4,2022-08-28 13:30:00,15,4,1,-3
244,4,2022-08-28 13:45:00,15,0,1,1
245,4,2022-08-28 14:00:00,15,1,0,-1
246,4,2022-08-28 14:15:00,15,0,0,0
247,4,2022-08-28 14:30:00,15,0,1,1
248,4,2022-08-28 14:45:00,15,2,2,0
249,4,2022-08-28 15:00:00,15,0,3,3
250,4,2022-08-28 15:15:00,15,1,2,1
251,4,2022-08-28 15:30:00,15,0,1,1
252,4,2022-08-28 15:45:00,15,0,10,10
253,4,2022-08-28 16:00:00,15,2,1,-1
254,4,2022-08-28 16:15:00,15,1,0,-1
255,4,2022-08-28 16:30:00,15,1,5,4
256,4,2022-08-28 16:45:00,15,2,0,-2
257,4,2022-08-28 17:00:00,15,1,2,1
258,4,2022-08-28 17:15:00,15,0,1,1
259,4,2022-08-28 17:30:00,15,1,0,-1
260,4,2022-08-28 17:45:00,15,6,1,-5
261,4,2022-08-28 18:00:00,15,1,5,4
262,4,2022-08-28 18:15:00,15,1,1,0
263,4,2022-08-28 18:30:00,15,2,1,-1
264,4,2022-08-28 18:45:00,15,3,2,-1
265,4,2022-08-28 19:00:00,15,3,3,0
266,4,2022-08-28 19:15:00,15,1,2,1
267,4,2022-08-28 19:30:00,15,2,2,0
268,4,2022-08-28 19:45:00,15,2,1,-1
269,4,2022-08-28 20:00:00,15,5,2,-3
270,4,2022-08-28 20:15:00,15,5,2,-3
271,4,2022-08-28 20:30:00,15,2,2,0
272,4,2022-08-28 20:45:00,15,1,0,-1
273,4,2022-08-28 21:00:00,15,1,3,2
274,4,2022-08-28 21:15:00,15,1,2,1
275,4,2022-08-28 21:30:00,15,2,2,0
276,4,2022-08-28 21:45:00,15,8,1,-7
277,4,2022-08-28 22:00:00,15,0,3,3
278,4,2022-08-28 22:15:00,15,2,6,4
279,4,2022-08-28 22:30:00,15,3,1,-2
